,diff_loss,hidden,it,l_train,l_val,learn_rt
0,0.15369679533577418,5,2000,0.12690029156328392,0.2805970868990581,0.5
1,0.10174924202231571,5,2000,0.10373181648490688,0.2054810585072226,0.6
2,0.08094779256313785,5,2000,0.10011381019915065,0.1810616027622885,0.7
3,0.11038608783390633,5,2000,0.11226690113186844,0.22265298896577476,0.8
4,0.13291938780940196,10,2000,0.16012494423801502,0.293044332047417,0.5
5,0.09972092545771476,10,2000,0.10602775723947487,0.20574868269718963,0.6
6,0.1225756269964215,10,2000,0.09783788433889548,0.22041351133531698,0.7
7,0.09632223123437395,10,2000,0.08764088914307985,0.1839631203774538,0.8
8,0.1274986544544638,15,2000,0.1411984867876529,0.2686971412421167,0.5
9,0.13651225782780518,15,2000,0.12239914873161299,0.2589114065594182,0.6
10,0.09812161366049271,15,2000,0.08023764367127187,0.17835925733176458,0.7
11,0.1031986078694913,15,2000,0.07503505876953438,0.17823366663902568,0.8
12,0.1245895657077233,20,2000,0.1244668467617339,0.2490564124694572,0.5
13,0.10519213217967723,20,2000,0.11441267985751925,0.21960481203719648,0.6
14,0.1123516633617729,20,2000,0.09623359609945349,0.20858525946122639,0.7
15,0.0978408461048805,20,2000,0.10282145082046662,0.20066229692534712,0.8
16,0.08195559613745013,5,2500,0.11043000173217504,0.19238559786962517,0.5
17,0.09623196529152236,5,2500,0.08510367774653554,0.1813356430380579,0.6
18,0.09433012854916162,5,2500,0.09457394635014305,0.18890407489930466,0.7
19,0.14359089101610337,5,2500,0.0822581291182603,0.22584902013436367,0.8
20,0.11722376323582431,10,2500,0.13490609575131216,0.25212985898713647,0.5
21,0.09967464139963417,10,2500,0.10814038831326808,0.20781502971290225,0.6
22,0.0826533295619685,10,2500,0.08063250793994911,0.1632858375019176,0.7
23,0.09728865543229637,10,2500,0.07792665787957231,0.17521531331186868,0.8
24,0.12924686630480248,15,2500,0.1126166837865459,0.24186355009134838,0.5
25,0.0752065598688563,15,2500,0.08335223648581735,0.15855879635467365,0.6
26,0.0447908119503434,15,2500,0.1184141310007327,0.1632049429510761,0.7
27,0.08733740142683231,15,2500,0.07353509431170734,0.16087249573853965,0.8
28,0.09594987157612792,20,2500,0.09063762286745611,0.18658749444358402,0.5
29,0.08562521624667647,20,2500,0.07919478976427406,0.16482000601095054,0.6
30,0.08331026277101729,20,2500,0.06902142739463839,0.15233169016565568,0.7
31,0.17793353773999132,20,2500,0.20780408759719876,0.3857376253371901,0.8
32,0.08227296681812546,5,3000,0.07312885485569537,0.15540182167382083,0.5
33,0.08303378036078206,5,3000,0.07918945379580301,0.16222323415658507,0.6
34,0.08659632476890099,5,3000,0.07325044908361185,0.15984677385251284,0.7
35,0.07685123872130023,5,3000,0.08878995618877128,0.1656411949100715,0.8
36,0.07485579407312264,10,3000,0.0922598939221189,0.16711568799524154,0.5
37,0.08027049801532599,10,3000,0.0695730243945556,0.14984352240988158,0.6
38,0.09090424037612939,10,3000,0.07411905371154821,0.1650232940876776,0.7
39,0.07844457008141066,10,3000,0.06480164144118773,0.1432462115225984,0.8
40,0.14725996331280572,15,3000,0.1011393499376095,0.24839931325041523,0.5
41,0.14729904815087394,15,3000,0.07757856123624077,0.2248776093871147,0.6
42,0.1105220305622191,15,3000,0.08818688150542764,0.19870891206764674,0.7
43,0.08008675652385684,15,3000,0.06291726791788203,0.14300402444173888,0.8
44,0.0816286846715679,20,3000,0.07852700620249185,0.16015569087405976,0.5
45,0.06899948906708829,20,3000,0.06831567679718965,0.13731516586427794,0.6
46,0.09580188796136585,20,3000,0.09435262010828263,0.19015450806964848,0.7
47,0.10922811893985591,20,3000,0.08889623782439633,0.19812435676425225,0.8
